"TGrouping","Sampling_grouping","Grouping_unit","n"
"Amphibia","Survey","Time",69
"Amphibia","Survey","Plot",84
"Aves","FixedPlot","Space",975
"Aves","FixedPlot","Time",1293
"Aves","FixedPlot","Plot",1506
"Aves","Transect","Space",256
"Aves","Transect","Plot",80
"Aves","Survey","Time",188
"Aves","Survey","Plot",114
"Aves","Trap","Plot",199
"Aves","Netting","Time",2
"Aves","Netting","Plot",2
"Fungi","FixedPlot","Plot",397
"Invertebrates","FixedPlot","Space",446
"Invertebrates","FixedPlot","Time",416
"Invertebrates","FixedPlot","Plot",999
"Invertebrates","Transect","Space",621
"Invertebrates","Transect","Time",133
"Invertebrates","Transect","Plot",493
"Invertebrates","Survey","Space",16
"Invertebrates","Survey","Time",673
"Invertebrates","Survey","Plot",372
"Invertebrates","Trap","Time",1881
"Invertebrates","Trap","Plot",2892
"Invertebrates","Netting","Time",13
"Invertebrates","Netting","Plot",256
"Mammalia","FixedPlot","Plot",2
"Mammalia","Transect","Space",407
"Mammalia","Transect","Plot",5
"Mammalia","Survey","Time",50
"Mammalia","Survey","Plot",125
"Mammalia","Trap","Time",537
"Mammalia","Trap","Plot",540
"Mammalia","Netting","Time",42
"Mammalia","Netting","Plot",43
"Plantae","FixedPlot","Space",1396
"Plantae","FixedPlot","Time",167
"Plantae","FixedPlot","Plot",1983
"Plantae","Transect","Space",96
"Plantae","Transect","Time",288
"Plantae","Transect","Plot",397
"Plantae","Survey","Space",130
"Plantae","Survey","Plot",671
"Plantae","Trap","Time",128
"Reptilia","Survey","Plot",27
"Reptilia","Trap","Plot",30
