TGrouping,Sampling_method,Sampling_effort_unit,Sampling_grouping,Grouping_unit,Effort_multiplier
Plantae,fixed plots/quadrats,square m,FixedPlot,Space,0.0001
Plantae,fixed plots/quadrats,plot,FixedPlot,Plot,1
Plantae,line/belt transects,meter,Transect,Space,0.0001*(x^2)
Plantae,line/belt transects,square m,Transect,Space,0.0001
Plantae,line/belt transects,plot,Transect,Plot,1
Plantae,line/belt transects,site,Transect,Plot,1
Plantae,fixed plots/quadrats,site,FixedPlot,Plot,1
Plantae,fixed plots/quadrats,hectare,FixedPlot,Space,1
Plantae,point counts,hour,FixedPlot,Time,(1/24)
Plantae,line/belt transects,hour,Transect,Time,(1/24)
Plantae,point counts,minute,FixedPlot,Time,(1/1440)
Plantae,fixed plots/quadrats,square km,FixedPlot,Space,100
Plantae,various,visit,NA,Plot,NA
Plantae,fixed plots/quadrats,visit,FixedPlot,Plot,1
Plantae,visual encounter survey,visit,Survey,Plot,1
Plantae,plots/quadrats,site,FixedPlot,Plot,1
Plantae,transect,site,Transect,Plot,1
Plantae,visual encounter survey,plot,Survey,Plot,1
Plantae,sweep path,site,Netting,Plot,1
Plantae,transect,plot,Transect,Plot,1
Plantae,line/belt transects,minute,Transect,Time,(1/1440)
Plantae,biomass estimation,square m,NA,Space,NA
Plantae,visual encounter survey,square m,Survey,Space,0.0001
Plantae,visual encounter survey,meter,Survey,Space,0.0001*(pi*x^2)
Plantae,visual encounter survey,kilometer,Survey,Space,100*(pi*x^2)
Plantae,pit-fall traps,trap,Trap,Plot,1
Plantae,fixed plots/quadrats,day,FixedPlot,Time,1
Plantae,live traps,day,Trap,Time,1
Fungi,specimen collection,site,Survey,Plot,1
Fungi,fixed plots/quadrats,site,FixedPlot,Plot,1
Fungi,fixed plots/quadrats,plot,FixedPlot,Plot,1
Fungi,soil core,site,FixedPlot,Plot,1
Fungi,fixed plots/quadrats,visit,FixedPlot,Plot,1
Invertebrates,transects with baits,trap,Transect,Plot,1
Invertebrates,specimen collection,hour,Survey,Time,(1/24)
Invertebrates,aerial transect,visit,Transect,Plot,1
Invertebrates,baited traps,trap,Trap,Plot,1
Invertebrates,aerial transect,kilometer,Transect,Space,100*(pi*x^2)
Invertebrates,sweep net,hour,Netting,Time,(1/24)
Invertebrates,systematic searching,day,Survey,Time,1
Invertebrates,fixed plots/quadrats,day,FixedPlot,Time,1
Invertebrates,visual encounter survey,minute,Survey,Time,(1/1440)
Invertebrates,aerial transect,minute,Transect,Time,(1/1440)
Invertebrates,sweep nets,number of sweeps,Netting,Plot,1
Invertebrates,fixed plots/quadrats,minute,FixedPlot,Time,(1/1440)
Invertebrates,point counts,minute,FixedPlot,Time,(1/1440)
Invertebrates,aerial transect,meter,Transect,Space,0.0001*(pi*x^2)
Invertebrates,flower visitation observation,minute,Survey,Time,(1/1440)
Invertebrates,line/belt transects,hour,Transect,Time,(1/24)
Invertebrates,flight trap,week,Trap,Time,7
Invertebrates,pit-fall traps,week,Trap,Time,7
Invertebrates,aerial transect,site,Transect,Plot,1
Invertebrates,systematic searching,hour,Survey,Time,(1/24)
Invertebrates,window trap,day,Trap,Time,1
Invertebrates,pan traps,day,Trap,Time,1
Invertebrates,phytometer,hour,Trap,Time,(1/24)
Invertebrates,line/belt transects,meter,Transect,Space,0.0001*(pi*x^2)
Invertebrates,specimen collection,catch,Survey,Plot,1
Invertebrates,flower visitations,minute,Survey,Time,(1/1440)
Invertebrates,mixed traps,trap,Trap,Plot,1
Invertebrates,pan traps,trap,Trap,Plot,1
Invertebrates,mixed traps,hour,Trap,Time,(1/24)
